#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134703	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11019		铁刀派生系III·片手	1	1	20	20		1	0	0	0	0	0	0	4	14	134741	0		1			15	weapon_03	<2>	收集以下片手：		1	1	0	0		3	2	
11020		王者派生系·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	53632	0		1			16	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11020		王者派生系·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	53743	0		1			16	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11020		王者派生系·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	133743	0		1			16	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11020		王者派生系·片手	1	1	15	15		1	0	0	0	0	0	0	4	14	134743	0		1			16	weapon_02	<2>	收集以下片手：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52011	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52012	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	122002	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123002	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124002	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52131	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123121	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11021		晓风派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124121	0		1			17	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52011	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52034	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52075	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	122024	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	122065	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123024	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123065	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124024	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11022		晓风派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124065	0		1			18	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	121001	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52121	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52159	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	122001	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124111	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124149	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52637	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11023		晓风派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124627	0		1			19	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52013	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52014	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52054	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52601	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123004	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123044	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124004	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124044	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11024		骨刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124591	0		1			20	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52014	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52118	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52602	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52261	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52267	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123257	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11025		骨刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124257	0		1			21	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52016	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52052	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52638	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52746	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123628	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123746	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124628	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11026		骨刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124746	0		1			22	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52017	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52021	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52117	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52135	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52592	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124107	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124125	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11027		铁刀派生系I·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124582	0		1			23	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52021	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52113	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52167	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52595	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52032	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52112	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124022	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124102	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124157	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11028		铁刀派生系II·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124585	0		1			24	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	121007	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52120	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	52156	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123703	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	123741	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124703	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11029		铁刀派生系III·太刀	1	1	20	20		1	0	0	0	0	0	0	4	14	124741	0		1			25	weapon_06	<2>	收集以下太刀：		1	1	0	0		3	2	
11030		王者派生系·太刀	1	1	15	15		1	0	0	0	0	0	0	4	14	52632	0		1			26	weapon_05	<2>	收集以下太刀：		1	1	0	0		3	2	
11030		王者派生系·太刀	1	1	15	15		1	0	0	0	0	0	0	4	14	52743	0		1			26	weapon_05	<2>	收集以下太刀：		1	1	0	0		3	2	
11030		王者派生系·太刀	1	1	15	15		1	0	0	0	0	0	0	4	14	123743	0		1			26	weapon_05	<2>	收集以下太刀：		1	1	0	0		3	2	
11030		王者派生系·太刀	1	1	15	15		1	0	0	0	0	0	0	4	14	124743	0		1			26	weapon_05	<2>	收集以下太刀：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50011	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50012	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102002	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50131	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103002	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103121	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104002	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11031		晓风派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104121	0		1			27	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50032	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102022	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103022	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104022	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50236	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50591	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103226	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103581	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104226	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11032		晓风派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104581	0		1			28	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50013	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50014	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102004	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103004	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104004	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50052	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102042	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103042	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11033		骨刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104042	0		1			29	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50112	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102102	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50132	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103102	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103122	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104102	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11034		骨刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104122	0		1			30	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50021	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50041	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102011	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102031	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103011	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103031	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104011	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11035		骨刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104031	0		1			31	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50015	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50053	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102005	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102043	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103005	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103043	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104005	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11036		骨刀派生系IV·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104043	0		1			32	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50016	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50022	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102012	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103012	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104012	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50118	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102108	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11037		铁刀派生系I·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104108	0		1			33	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50035	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50119	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102025	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102109	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103025	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	103109	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104025	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11038		铁刀派生系II·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	104109	0		1			34	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11039		铁刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	101006	0		1			35	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11039		铁刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50120	0		1			35	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11039		铁刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	102110	0		1			35	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
11039		铁刀派生系III·大剑	1	1	20	20		1	0	0	0	0	0	0	4	14	50156	0		1			35	weapon_09	<2>	收集以下大剑：		1	1	0	0		3	2	
